"team","team_abbr","logo_url","primary_color","league"
"Afghanistan","AFG","https://www.espncricinfo.com/db/PICTURES/CMS/321000/321005.png","#3f8108","International"
"Australia","AUS","https://www.espncricinfo.com/db/PICTURES/CMS/340400/340493.png","#f3f702","International"
"Bangladesh","BAN","https://www.espncricinfo.com/db/PICTURES/CMS/341400/341456.png","#ed3507","International"
"England","ENG","https://www.espncricinfo.com/db/PICTURES/CMS/313100/313114.logo.png","#0673c1","International"
"India","IND","https://www.espncricinfo.com/db/PICTURES/CMS/313100/313128.logo.png","#050ceb","International"
"Ireland","IRE","https://www.espncricinfo.com/db/PICTURES/CMS/313100/313149.logo.png","#114706","International"
"New Zealand","NZ","https://www.espncricinfo.com/db/PICTURES/CMS/340500/340505.png","#b7c0c8","International"
"Pakistan","PAK","https://www.espncricinfo.com/db/PICTURES/CMS/313100/313129.logo.png","#07df52","International"
"South Africa","SA","https://www.espncricinfo.com/db/PICTURES/CMS/313100/313125.logo.png","#ace411","International"
"Sri Lanka","SL","https://www.espncricinfo.com/db/PICTURES/CMS/340000/340047.png","#203d89","International"
"West Indies","WI","https://www.espncricinfo.com/db/PICTURES/CMS/317600/317615.png","#790d1a","International"
"Zimbabwe","ZIM","https://www.espncricinfo.com/db/PICTURES/CMS/340500/340503.png","#d04037","International"
"Namibia","NAM","https://www.espncricinfo.com/db/PICTURES/CMS/313100/313148.logo.png","#0b0c59","International"
"Nepal","NEP","https://www.espncricinfo.com/db/PICTURES/CMS/319900/319958.png","#131263","International"
"Netherlands","NED","https://www.espncricinfo.com/db/PICTURES/CMS/313100/313136.logo.png","#f49b1f","International"
"Oman","OMA","https://www.espncricinfo.com/db/PICTURES/CMS/358500/358573.png","#db3039","International"
"Papua New Guinea","PNG","https://www.espncricinfo.com/db/PICTURES/CMS/346100/346147.png","#050505","International"
"Scotland","SCOT","https://www.espncricinfo.com/db/PICTURES/CMS/313100/313150.logo.png","#2e0647","International"
"United Arab Emirates","UAE","https://www.espncricinfo.com/db/PICTURES/CMS/358500/358569.png","#0b0c59","International"
"United States of America","USA","https://www.espncricinfo.com/db/PICTURES/CMS/373500/373560.png","#0b0c59","International"
"Australia Women","AUS-W","https://www.espncricinfo.com/db/PICTURES/CMS/340400/340493.png","#f3f702","International"
"England Women","ENG-W","https://www.espncricinfo.com/db/PICTURES/CMS/313200/313261.logo.png","#0673c1","International"
"India Women","IND-W","https://www.espncricinfo.com/db/PICTURES/CMS/313300/313309.logo.png","#050ceb","International"
"Ireland Women","IRE-W","https://www.espncricinfo.com/db/PICTURES/CMS/156800/156800.png","#114706","International"
"Netherlands Women","NL-W","https://www.espncricinfo.com/db/PICTURES/CMS/313100/313136.logo.png","#0b0c59","International"
"New Zealand Women","NZ-W","https://www.espncricinfo.com/db/PICTURES/CMS/340500/340505.png","#b7c0c8","International"
"Pakistan Women","PAK-W","https://www.espncricinfo.com/db/PICTURES/CMS/313300/313341.logo.png","#07df52","International"
"South Africa Women","SA-W","https://www.espncricinfo.com/db/PICTURES/CMS/313300/313348.logo.png","#ace411","International"
"Sri Lanka Women","SL-W","https://www.espncricinfo.com/db/PICTURES/CMS/340000/340047.png","#203d89","International"
"West Indies Women","WI-W","https://www.espncricinfo.com/db/PICTURES/CMS/317600/317615.png","#790d1a","International"
"Bangladesh Women","BAN-W","https://www.espncricinfo.com/db/PICTURES/CMS/341400/341456.png","#ed3507","International"
"Thailand Women","THI-W","https://www.espncricinfo.com/db/PICTURES/CMS/313400/313402.logo.png","#0b0c59","International"
"Zimbabwe Women","ZIM-W","https://www.espncricinfo.com/db/PICTURES/CMS/340500/340503.png","#d04037","International"
"Adelaide Strikers","AS","https://www.espncricinfo.com/db/PICTURES/CMS/313400/313465.logo.png","#0a81ff","Big Bash League"
"Brisbane Heat","BH","https://www.espncricinfo.com/db/PICTURES/CMS/313400/313466.logo.png","#07abd5","Big Bash League"
"Hobart Hurricanes","HH","https://www.espncricinfo.com/db/PICTURES/CMS/313400/313467.logo.png","#8509d7","Big Bash League"
"Melbourne Renegades","MR","https://www.espncricinfo.com/db/PICTURES/CMS/313400/313469.logo.png","#e20808","Big Bash League"
"Melbourne Stars","MS","https://www.espncricinfo.com/db/PICTURES/CMS/313400/313470.logo.png","#1f9707","Big Bash League"
"Perth Scorchers","PS","https://www.espncricinfo.com/db/PICTURES/CMS/313400/313468.logo.png","#f27107","Big Bash League"
"Sydney Sixers","SS","https://www.espncricinfo.com/db/PICTURES/CMS/313400/313471.logo.png","#e00b87","Big Bash League"
"Sydney Thunder","ST","https://www.espncricinfo.com/db/PICTURES/CMS/313400/313472.logo.png","#b2f71d","Big Bash League"
"Chattogram Challengers","CC","https://www.espncricinfo.com/db/PICTURES/CMS/352100/352113.png","#ebd0d0","Bangladesh Premier League"
"Comilla Victorians","CV","https://www.espncricinfo.com/db/PICTURES/CMS/333600/333684.png","#b12525","Bangladesh Premier League"
"Dhaka Dominators","DHD","https://www.espncricinfo.com/db/PICTURES/CMS/352100/352117.png","#0b0c59","Bangladesh Premier League"
"Fortune Barishal","BSHAL","https://www.espncricinfo.com/db/PICTURES/CMS/333300/333365.png","#24c2a8","Bangladesh Premier League"
"Khulna Tigers","KT","https://www.espncricinfo.com/db/PICTURES/CMS/313500/313536.logo.png","#d99502","Bangladesh Premier League"
"Rangpur Riders","RPR","https://www.espncricinfo.com/db/PICTURES/CMS/352100/352111.png","#0b72f9","Bangladesh Premier League"
"Sylhet Strikers","SYS","https://www.espncricinfo.com/db/PICTURES/CMS/352100/352112.png","#128233","Bangladesh Premier League"
"Birmingham Phoenix (Men)","BP-M","https://www.espncricinfo.com/db/PICTURES/CMS/317100/317118.png","#ff8400","The Hundred"
"London Spirit (Men)","LS-M","https://www.espncricinfo.com/db/PICTURES/CMS/317100/317119.png","#0830f7","The Hundred"
"Manchester Originals (Men)","MO-M","https://www.espncricinfo.com/db/PICTURES/CMS/317100/317114.png","#ded9d9","The Hundred"
"Northern Superchargers (Men)","NSC-M","https://www.espncricinfo.com/db/PICTURES/CMS/317100/317113.png","#6e0d9c","The Hundred"
"Oval Invincibles (Men)","OI-M","https://www.espncricinfo.com/db/PICTURES/CMS/317100/317111.png","#14f581","The Hundred"
"Southern Brave (Men)","SB-M","https://www.espncricinfo.com/db/PICTURES/CMS/317100/317112.png","#8ac705","The Hundred"
